record_from,record_to,distance
1,2,0.94064586
2,41,0.98567952
3,4,0.92292654
5,7,0.97824104
6,8,0.90695229
7,8,0.90385702
14,16,0.9820833
16,17,0.98224691
19,20,0.98036988
20,21,0.91205265
28,74,0.93728354
29,74,0.97856992
31,34,0.92996029
32,34,0.98678602
33,34,0.98144936
37,39,0.98023035
38,39,0.93237811
41,42,0.97659137
46,49,0.9140638
47,48,0.97846209
48,49,0.98574496
49,50,0.96869836
56,57,0.98025972
69,73,0.98650979
70,73,0.97333007
71,73,0.90233639
72,73,0.96561723
74,75,0.94004431
87,91,0.97756242
88,91,0.97197689
95,98,0.92197274
96,98,0.9870982
97,99,0.98314694
98,99,0.98633123
